day,tf,side,entry_ts,exit_ts,entry,exit,stop,target,babies,mother_rng,mother_ts,mother_high,mother_low,baby_ts_first,baby_ts_last,gross_pts,net_pts,reason,win
2025-09-01,1m,SHORT,2025-09-01 10:19:00,2025-09-01 10:27:00,24652.0,24670.0,24670.0,24637.0,8,15.0,2025-09-01 10:10:00,24670.0,24655.0,2025-09-01 10:11:00,2025-09-01 10:18:00,-18.0,-38.0,STOP,0
2025-09-01,1m,LONG,2025-09-01 10:27:00,2025-09-01 10:31:00,24669.0,24651.6,24651.6,24685.6,1,16.6,2025-09-01 10:25:00,24668.2,24651.6,2025-09-01 10:26:00,2025-09-01 10:26:00,-17.4,-37.4,STOP,0
2025-09-01,1m,LONG,2025-09-01 10:50:00,2025-09-01 10:51:00,24679.6,24671.0,24671.0,24688.0,1,8.4,2025-09-01 10:48:00,24679.4,24671.0,2025-09-01 10:49:00,2025-09-01 10:49:00,-8.6,-28.6,STOP,0
2025-09-01,1m,SHORT,2025-09-01 10:53:00,2025-09-01 10:59:00,24666.6,24681.9,24681.9,24653.7,1,12.9,2025-09-01 10:51:00,24681.9,24669.0,2025-09-01 10:52:00,2025-09-01 10:52:00,-15.3,-35.3,STOP,0
2025-09-01,1m,LONG,2025-09-01 11:17:00,2025-09-01 11:23:00,24684.0,24674.2,24674.2,24693.0,1,9.0,2025-09-01 11:15:00,24683.2,24674.2,2025-09-01 11:16:00,2025-09-01 11:16:00,-9.8,-29.8,STOP,0
2025-09-01,1m,SHORT,2025-09-01 13:12:00,2025-09-01 13:16:00,24722.7,24731.9,24731.9,24714.4,1,8.3,2025-09-01 13:10:00,24731.9,24723.6,2025-09-01 13:11:00,2025-09-01 13:11:00,-9.2,-29.2,STOP,0
2025-09-01,1m,SHORT,2025-09-01 13:23:00,2025-09-01 13:25:00,24724.9,24715.9,24734.0,24715.9,5,9.0,2025-09-01 13:17:00,24734.0,24725.0,2025-09-01 13:18:00,2025-09-01 13:22:00,9.0,-11.0,TARGET,0
2025-09-01,1m,LONG,2025-09-01 14:09:00,2025-09-01 14:27:00,24740.0,24730.1,24730.1,24747.9,2,7.9,2025-09-01 14:06:00,24738.0,24730.1,2025-09-01 14:07:00,2025-09-01 14:08:00,-9.9,-29.9,STOP,0
2025-09-01,1m,LONG,2025-09-01 14:33:00,2025-09-01 14:57:00,24740.0,24748.4,24729.6,24748.4,1,8.4,2025-09-01 14:31:00,24738.0,24729.6,2025-09-01 14:32:00,2025-09-01 14:32:00,8.4,-11.6,TARGET,0
2025-09-02,1m,LONG,2025-09-02 09:49:00,2025-09-02 09:52:00,24817.0,24829.8,24802.2,24829.8,2,12.8,2025-09-02 09:46:00,24815.0,24802.2,2025-09-02 09:47:00,2025-09-02 09:48:00,12.8,-7.2,TARGET,0
2025-09-02,1m,SHORT,2025-09-02 09:55:00,2025-09-02 09:57:00,24829.0,24838.8,24838.8,24820.2,1,8.8,2025-09-02 09:53:00,24838.8,24830.0,2025-09-02 09:54:00,2025-09-02 09:54:00,-9.8,-29.8,STOP,0
2025-09-02,1m,LONG,2025-09-02 10:00:00,2025-09-02 10:02:00,24841.1,24850.8,24830.3,24850.8,2,9.7,2025-09-02 09:57:00,24840.0,24830.3,2025-09-02 09:58:00,2025-09-02 09:59:00,9.7,-10.3,TARGET,0
2025-09-02,1m,SHORT,2025-09-02 10:13:00,2025-09-02 10:35:00,24843.1,24832.0,24858.5,24832.0,2,11.1,2025-09-02 10:10:00,24858.5,24847.4,2025-09-02 10:11:00,2025-09-02 10:12:00,11.1,-8.9,TARGET,0
