day,tf,side,margin,entry_ts,exit_ts,entry,exit,stop,target,mother_ts,mother_high,mother_low,baby_ts,baby_high,baby_low,mother_rng,gross_pts,net_pts,reason,win
2025-09-03,15m,LONG,20,2025-09-03 15:15:00,2025-09-03 15:30:00,24806.0,24820.0,24755.0,24841.0,2025-09-03 14:45:00,24785.4,24750.4,2025-09-03 15:00:00,24786.0,24755.0,35.0,14.0,-6.0,EOD,0
2025-09-04,15m,SHORT,20,2025-09-04 10:15:00,2025-09-04 10:45:00,24965.1,24908.1,25015.0,24908.1,2025-09-04 09:45:00,25034.0,24977.0,2025-09-04 10:00:00,25015.0,24985.1,57.0,57.0,37.0,TARGET,1
2025-09-05,15m,SHORT,20,2025-09-05 14:45:00,2025-09-05 15:30:00,24828.9,24849.6,24869.0,24772.9,2025-09-05 14:15:00,24899.0,24843.0,2025-09-05 14:30:00,24869.0,24848.9,56.0,-20.7,-40.7,EOD,0
2025-09-26,15m,LONG,20,2025-09-26 10:00:00,2025-09-26 11:15:00,24870.0,24821.0,24821.0,24931.0,2025-09-26 09:30:00,24897.4,24836.4,2025-09-26 09:45:00,24850.0,24821.0,61.0,-49.0,-69.0,STOP,0
2025-09-29,15m,LONG,20,2025-09-29 13:15:00,2025-09-29 14:15:00,24708.0,24763.7,24647.9,24763.7,2025-09-29 12:45:00,24702.5,24646.8,2025-09-29 13:00:00,24688.0,24647.9,55.7,55.7,35.7,TARGET,1
2025-10-01,15m,LONG,20,2025-10-01 10:45:00,2025-10-01 11:45:00,24818.7,24878.7,24764.7,24878.7,2025-10-01 10:15:00,24810.0,24750.0,2025-10-01 10:30:00,24798.7,24764.7,60.0,60.0,40.0,TARGET,1
2025-10-06,15m,SHORT,20,2025-10-06 14:00:00,2025-10-06 15:30:00,25162.0,25181.1,25199.1,25122.3,2025-10-06 13:30:00,25188.0,25148.3,2025-10-06 13:45:00,25199.1,25182.0,39.7,-19.1,-39.1,EOD,0
2025-10-08,15m,SHORT,20,2025-10-08 10:00:00,2025-10-08 11:15:00,25240.1,25153.3,25289.8,25153.3,2025-10-08 09:30:00,25280.0,25193.2,2025-10-08 09:45:00,25289.8,25260.1,86.8,86.8,66.8,TARGET,1
2025-10-17,15m,SHORT,20,2025-10-17 13:45:00,2025-10-17 14:15:00,25687.5,25748.0,25748.0,25608.6,2025-10-17 13:15:00,25768.9,25690.0,2025-10-17 13:30:00,25748.0,25707.5,78.9,-60.5,-80.5,STOP,0
2025-10-23,15m,SHORT,20,2025-10-23 15:15:00,2025-10-23 15:30:00,26001.6,25950.0,26073.7,25925.7,2025-10-23 14:45:00,26079.0,26003.1,2025-10-23 15:00:00,26073.7,26021.6,75.9,51.6,31.6,EOD,1
2025-10-24,15m,LONG,20,2025-10-24 14:15:00,2025-10-24 15:30:00,25792.3,25814.3,25735.0,25857.6,2025-10-24 13:45:00,25803.4,25738.1,2025-10-24 14:00:00,25772.3,25735.0,65.3,22.0,2.0,EOD,1
2025-10-28,15m,SHORT,20,2025-10-28 10:45:00,2025-10-28 12:45:00,25880.1,25931.6,25931.6,25800.1,2025-10-28 10:15:00,25982.0,25902.0,2025-10-28 10:30:00,25931.6,25900.1,80.0,-51.5,-71.5,STOP,0
