day,side,margin,entry_ts,exit_ts,entry,exit,stop,target,mother_ts,baby_ts,mother_rng,gross_pts,net_pts,reason,win
2025-01-03,SHORT,20,2025-01-03 10:30:00,2025-01-03 11:15:00,24017.0,24075.7,24075.7,23938.9,2025-01-03 10:00:00,2025-01-03 10:15:00,78.1,-58.7,-78.7,STOP,0
2025-01-06,SHORT,20,2025-01-06 10:30:00,2025-01-06 10:45:00,23946.8,23858.6,24054.3,23858.6,2025-01-06 10:00:00,2025-01-06 10:15:00,88.2,88.2,68.2,TARGET,1
2025-01-06,LONG,20,2025-01-06 12:30:00,2025-01-06 13:15:00,23751.0,23679.0,23679.0,23868.7,2025-01-06 12:00:00,2025-01-06 12:15:00,117.7,-72.0,-92.0,STOP,0
2025-01-17,LONG,20,2025-01-17 11:15:00,2025-01-17 12:15:00,23155.6,23251.4,23100.8,23251.4,2025-01-17 10:45:00,2025-01-17 11:00:00,95.8,95.8,75.8,TARGET,1
2025-01-21,SHORT,20,2025-01-21 11:00:00,2025-01-21 11:45:00,23150.4,23217.7,23217.7,23079.6,2025-01-21 10:30:00,2025-01-21 10:45:00,70.7,-67.4,-87.4,STOP,0
2025-01-21,SHORT,20,2025-01-21 12:15:00,2025-01-21 14:30:00,23255.6,23032.2,23392.6,23032.2,2025-01-21 11:45:00,2025-01-21 12:00:00,223.3,223.3,203.3,TARGET,1
2025-01-21,SHORT,20,2025-01-21 13:45:00,2025-01-21 14:30:00,23195.6,23032.3,23296.6,23032.3,2025-01-21 13:15:00,2025-01-21 13:30:00,163.4,163.4,143.4,TARGET,1
2025-01-23,SHORT,20,2025-01-23 14:45:00,2025-01-23 15:30:00,23202.7,23205.4,23243.9,23171.4,2025-01-23 14:15:00,2025-01-23 14:30:00,31.3,-2.6,-22.6,EOD,0
2025-01-24,SHORT,20,2025-01-24 09:45:00,2025-01-24 11:00:00,23172.6,23246.1,23246.1,23085.2,2025-01-24 09:15:00,2025-01-24 09:30:00,87.3,-73.5,-93.5,STOP,0
2025-01-24,LONG,20,2025-01-24 11:30:00,2025-01-24 12:30:00,23304.8,23254.0,23254.0,23379.1,2025-01-24 11:00:00,2025-01-24 11:15:00,74.3,-50.8,-70.8,STOP,0
