journaled_at,inst,entry_ts,exit_ts,direction,entry,exit,stop,target,pnl_pts,pnl_rs,win,exit_reason,days_held,lot_size,atr14,regime
2026-05-23 02:07:30,NIFTY,2026-05-13 10:30:00,2026-05-13 15:15:00,LONG,23489.0,23479.5,23276.91,23954.75,-29.5,-1957.5,0,SQUARE OFF,0,65,265.97,neutral
2026-05-23 02:07:30,NIFTY,2026-05-14 11:30:00,2026-05-15 11:30:00,LONG,23605.0,23719.11,23375.21,23983.75,94.11,6077.43,1,BREAKEVEN,1,65,270.77,neutral
2026-05-23 02:07:30,NIFTY,2026-05-18 11:30:00,2026-05-19 14:45:00,LONG,23500.1,23632.79,23288.09,23957.53,112.69,7284.8,1,BREAKEVEN,1,65,284.42,neutral
2026-05-23 02:07:30,NIFTY,2026-05-20 11:30:00,2026-05-21 11:00:00,LONG,23601.6,23696.1,23398.49,23982.9,74.5,4802.73,1,BREAKEVEN,1,65,282.39,neutral
2026-05-23 02:07:30,BANKNIFTY,2026-05-14 11:15:00,2026-05-15 09:15:00,LONG,53559.0,54106.92,52728.95,56250.0,487.92,14597.64,1,TRAIL STOP,1,30,886.16,neutral
2026-05-23 02:07:30,BANKNIFTY,2026-05-15 12:45:00,2026-05-15 14:30:00,LONG,54260.8,54075.2,53428.31,56250.0,-245.6,-7408.0,0,EARLY CUT,0,30,886.16,neutral
2026-05-23 02:07:30,BANKNIFTY,2026-05-18 11:00:00,2026-05-19 14:45:00,LONG,53155.4,53504.46,52326.82,56250.0,289.06,8631.93,1,TRAIL STOP,1,30,891.07,neutral
2026-05-23 02:07:30,BANKNIFTY,2026-05-20 11:15:00,2026-05-21 11:15:00,LONG,53330.0,53747.24,52448.61,56250.0,357.24,10677.29,1,TRAIL STOP,1,30,904.31,neutral
2026-05-23 02:07:30,SENSEX,2026-05-13 11:45:00,2026-05-13 15:15:00,LONG,75200.0,74925.0,74571.4,77910.0,-315.0,-3190.0,0,SQUARE OFF,0,10,892.99,neutral
2026-05-23 02:07:30,SENSEX,2026-05-14 11:30:00,2026-05-15 09:30:00,LONG,75230.0,75424.1,74495.43,77910.0,154.1,1501.0,1,TRAIL STOP,1,10,894.9,neutral
2026-05-23 02:07:30,SENSEX,2026-05-15 12:45:00,2026-05-15 15:00:00,LONG,75750.0,75257.87,75257.87,77910.0,-532.13,-5361.3,0,TRAIL STOP,0,10,894.9,neutral
2026-05-23 02:07:30,SENSEX,2026-05-18 11:00:00,2026-05-19 14:45:00,LONG,74727.0,75377.9,74136.04,77910.0,610.9,6069.0,1,TRAIL STOP,1,10,944.2,neutral
2026-05-23 02:07:30,SENSEX,2026-05-20 11:30:00,2026-05-21 11:00:00,LONG,75138.0,75483.1,74520.49,77910.0,305.1,3011.0,1,TRAIL STOP,1,10,952.9,neutral
2026-05-23 02:07:30,SENSEX,2026-05-21 11:45:00,2026-05-21 13:15:00,LONG,75493.1,74969.77,74969.77,77910.0,-563.33,-5673.3,0,TRAIL STOP,0,10,952.9,neutral
